0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1,hh:mm:ss:ms, Sampling Interval, Block No, G-code, G80, M-code, Start, mode, x, y, z, a, b, c, spindle load, command RPM, command Feedrate, actual RPM, actual Feedrate, act   Load, Ref_upper, Ref_lower, PLCFOV, cmdFOV, cmdSOV, userASCOn, userAFCon, AdaptiveOn, TWon, C1, C2, C3, C4, A1, A1h, A1 chatter, A2, A2H, A2 chatter
25,10:15:43:329,97,20,0,0,8,0,1,3,-36.517,170.727,0,0,0,0,2000,0,1799,7500,46.8457,0,0,155,100,100,0,1,0,0,6.1246,6.009,50.7111,50.6924,0.0146,0.0013,43275,0.0191,0.0013,0
26,10:15:43:429,100,20,0,0,8,0,1,3,-36.517,170.727,0,0,0,0,2000,0,1799,7500,46.8457,0,0,155,100,100,0,1,0,0,6.1246,6.0184,50.7111,50.6939,0.0148,0.0049,43275,0.0198,0.0015,0
27,10:15:43:529,100,20,0,0,8,0,1,3,-36.517,130.727,0,0,0,0,2000,0,1799,7500,46.8457,0,0,155,100,100,0,1,0,0,6.1246,5.9965,50.7111,50.6924,0.0152,0.0047,0,0.0196,0.0015,0
28,10:15:43:636,107,20,0,0,8,0,1,3,-36.517,130.727,0,0,0,0,2000,0,1799,7500,46.8457,0,0,155,100,100,0,1,0,0,6.1075,6.0028,50.7111,50.6924,0.0152,0.0047,0,0.0196,0.0015,0
29,10:15:43:736,100,20,0,0,8,0,1,3,-36.517,130.727,0,0,0,0,2000,0,1799,7500,46.8457,0,0,155,100,100,0,1,0,0,6.12,5.9965,50.7111,50.6924,0.0151,0.0056,49668.75,0.0195,0.0015,0
30,10:15:43:833,97,20,0,0,8,0,1,3,-36.517,130.727,0,0,0,0,2000,0,1799,7500,46.8457,0,0,155,100,100,0,1,0,0,6.109,5.9965,50.7111,50.6924,0.0151,0.0056,49668.75,0.0195,0.0015,0
31,10:15:43:923,90,20,0,0,8,0,1,3,-36.517,82.727,-26396.057,31208.675,0,0,2000,0,1799,7500,46.8457,0,0,155,100,100,0,1,0,0,6.1215,5.9668,50.7127,50.6924,0.0153,0.0035,0,0.0195,0.0008,0
32,10:15:44: 12,89,20,0,0,8,0,1,3,-36.517,82.727,-26396.057,31208.675,0,0,2000,0,1799,7500,46.8457,0,0,155,100,100,0,1,0,0,6.0856,5.9668,50.7127,50.6924,0.0153,0.0035,0,0.0195,0.0008,0
33,10:15:44:116,104,20,0,0,8,0,1,3,-36.517,82.727,-26396.057,31208.675,0,0,2000,0,1799,7500,46.8457,0,0,155,100,100,0,1,0,0,6.0965,5.97,50.7127,50.6924,0.0151,0.0019,0,0.0189,0.0009,0
34,10:15:44:216,100,20,0,0,8,0,1,3,-36.517,46,31208.675,0,0.008,0,2000,0,1799,1850,6.0965,0,0,155,100,100,0,1,0,0,6.0965,5.9778,50.7127,50.6924,0.0152,0.0042,0,0.0186,0.0033,0
35,10:15:44:316,100,20,0,0,8,0,1,3,-36.517,46,31208.675,0,0.008,0,2000,0,1799,1850,6.0918,0,0,155,100,100,0,1,0,0,6.0918,5.9668,50.7127,50.6924,0.0152,0.0042,0,0.0186,0.0033,0
36,10:15:44:416,100,20,0,0,8,0,1,3,-36.517,46,31208.675,0,0.008,0,2000,0,1799,1850,6.1043,0,0,155,100,100,0,1,0,0,6.1043,5.9809,50.7127,50.6924,0.0156,0.0037,0,0.0191,0.002,0
37,10:15:44:516,100,20,0,0,8,0,1,3,-36.517,22,0,-26398.759,-26398.764,0,2000,0,1799,7500,6.0965,0,0,155,100,100,0,1,0,0,6.0965,5.9793,50.7127,50.6924,0.0156,0.0037,0,0.0191,0.002,0
38,10:15:44:616,100,20,0,0,8,0,1,3,-36.517,22,0,-26398.759,-26398.764,0,2000,0,1799,7500,6.0934,0,0,155,100,100,0,1,0,0,6.0934,5.9747,50.7111,50.6924,0.016,0.0026,3912.5,0.019,0.0017,3912.5
39,10:15:44:716,100,20,0,0,8,0,1,3,-36.517,22,0,-26398.759,-26398.764,0,2000,0,1799,7500,6.0793,0,0,155,100,100,0,1,0,0,6.0793,5.9809,50.7111,50.6924,0.0159,0.0054,0,0.0193,0.0007,3912.5
40,10:15:44:816,100,20,0,0,8,0,1,3,-36.517,22,0,-26398.759,-26398.764,0,2000,0,1799,7500,6.1059,0,0,155,100,100,0,1,0,0,6.1059,5.9887,50.7111,50.6924,0.0159,0.0054,0,0.0193,0.0007,3912.5
41,10:15:44:916,100,20,0,0,8,0,1,3,-36.517,-5.033,0.016,0,-28097.667,0,2000,0,1799,0,6.1012,0,0,155,100,100,0,1,0,0,6.1012,5.9747,50.7127,50.6924,0.0161,0.0028,0,0.0195,0.0009,3912.5
42,10:15:45: 16,100,20,0,0,8,0,1,3,-36.517,-5.033,0.016,0,-28097.667,0,2000,50,1799,0,6.1106,0,0,155,100,100,0,1,0,0,6.1106,5.9965,50.708,50.6924,0.0161,0.0028,0,0.0195,0.0009,3912.5
43,10:15:45:116,100,20,1,0,8,0,1,3,-36.517,-5.033,0.016,0,-28097.667,0,2000,50,1799,0,6.0871,0,0,155,100,100,0,1,0,0,6.0871,5.9918,50.708,50.6924,0.0161,0.0066,3912.5,0.0203,0.0035,3912.5
44,10:15:45:216,100,20,1,0,8,0,1,3,-36.517,-5.033,0.016,0,-28097.667,0,2000,50,1799,0,6.084,0,0,155,100,100,0,1,0,0,6.084,5.9965,50.708,50.6924,0.016,0.0044,0,0.0205,0.0005,0
45,10:15:45:316,100,20,1,0,8,0,1,3,-36.517,-5.3,0.016,0,-28097.667,0,2000,50,1799,50,6.0809,0,0,155,100,100,0,1,0,0,6.0809,5.9887,50.708,50.6924,0.016,0.0044,0,0.0205,0.0005,0
46,10:15:45:416,100,20,1,0,8,0,1,3,-36.517,-5.3,0.016,0,-28097.667,0,2000,50,1799,50,6.0809,0,0,155,100,100,0,1,0,0,6.0809,6.0012,50.708,50.6924,0.0156,0.0021,49668.75,0.0195,0.0013,3912.5
47,10:15:45:513,97,20,1,0,8,0,1,3,-36.517,-5.3,0.016,0,-28097.667,0,2000,50,1799,50,6.0746,0,0,155,100,100,0,1,0,0,6.0746,5.9965,50.708,50.6924,0.0156,0.0021,49668.75,0.0195,0.0013,3912.5
48,10:15:45:621,108,20,1,0,8,0,1,3,-36.517,-5.3,0.016,0,-28097.667,0,2000,50,1799,50,6.0825,0,0,155,100,100,0,1,0,0,6.0825,6.0215,50.708,50.6939,0.0152,0.0023,49668.75,0.0193,0.001,0
49,10:15:45:721,100,20,1,0,8,0,1,3,-36.517,-5.673,0.008,19129.227,19129.231,0,2000,50,1799,50,6.0809,0,0,155,100,100,0,1,0,0,6.0809,6.0137,50.708,50.6939,0.015,0.0025,49668.75,0.019,0.0004,8531.25
50,10:15:45:819,98,20,1,0,8,0,1,3,-36.517,-5.673,0.008,19129.227,19129.231,0,2000,50,1799,50,6.0965,0,0,155,100,100,0,1,0,0,6.0965,6.0028,50.708,50.6955,0.015,0.0025,49668.75,0.019,0.0004,8531.25
51,10:15:45:912,93,20,1,0,8,0,1,3,-36.517,-5.673,0.008,19129.227,19129.231,0,2000,50,1799,50,6.0762,0,0,155,100,100,0,1,0,0,6.0762,6.0137,50.708,50.6971,0.0148,0.0057,49668.75,0.0194,0.0009,8531.25
52,10:15:46: 12,100,20,1,0,8,0,1,3,-36.517,-5.673,0.008,19129.227,19129.231,0,2000,50,1799,50,6.0871,0,0,155,100,100,0,1,0,0,6.0871,5.9981,50.708,50.6971,0.0148,0.0057,49668.75,0.0194,0.0009,8531.25
53,10:15:46:102,90,20,1,0,8,0,1,3,-36.517,-5.967,-26396.057,31208.675,0.018,0,2000,50,1799,50,6.0809,0,0,155,100,100,0,1,0,0,6.0809,5.9965,50.708,50.6971,0.0152,0.0066,49668.75,0.0182,0.0013,0
54,10:15:46:186,84,20,1,0,8,0,1,3,-36.517,-5.967,-26396.057,31208.675,0.018,0,2000,50,1799,50,6.0996,0,0,155,100,100,0,1,0,0,6.0996,5.9887,50.708,50.6971,0.0152,0.0066,49668.75,0.0182,0.0013,0
55,10:15:46:286,100,20,1,0,8,0,1,3,-36.517,-5.967,-26396.057,31208.675,0.018,0,2000,50,1799,50,6.084,0,0,155,100,100,0,1,0,0,6.084,5.9965,50.708,50.6955,0.0149,0.0046,49668.75,0.0195,0.0007,0
56,10:15:46:386,100,20,1,0,8,0,1,3,-36.517,-6.207,0.008,19129.227,0,0,2000,50,1799,50,6.0715,0,0,155,100,100,0,1,0,0,6.0715,5.995,50.708,50.6955,0.0151,0.0032,0,0.0193,0.0008,0
